"Site","Stems","Av_filling_rate","Andrena_sp","Apis_mellifera","Bombus_pascuorum","Bombus_ruderarius","Bombus_terrestris","Coenonympha_pamphilus","Dasytes_niger","Empis_livida","Empis_tessellata","Eristalis_sp","Eupeodes_corollae","Helophilus_pendulus","Lasioglossum_sp","Maniola_jurtina","Meligethes_sp","Merodon_equestris","Nomada_sp","Ochlodes_sylvanus","Oedemera_sp","Phyllopertha_horticola","Sphaerophoria_sp","Stenurella_melanura","Arnica_associated","Area_associated","Arnica_associated_narrow","Area_associated_narrow","Arnica_associated_noMel"
1,150,0.5713053049,1,2,0,0,0,1,3,0,1,2,3,1,3,0,0,0,0,0,0,0,0,5,12,10,5,7,12
2,65,0.34199783485,0,0,0,1,1,0,0,0,0,10,1,0,3,0,0,2,1,0,0,1,2,0,12,9,10,6,12
3,80,0.5618212635,4,1,0,0,0,0,2,0,5,1,2,0,2,0,0,0,2,0,0,0,0,2,10,9,3,4,10
4,25,0.7147100748,0,0,0,0,0,0,4,0,0,2,4,0,4,2,2,0,0,1,0,5,0,2,10,16,8,9,8
5,16,0.83024415455,1,4,1,0,0,0,2,0,0,1,4,0,0,0,2,0,0,1,6,0,2,0,11,13,5,6,9
6,250,0.87566248665,1,2,0,0,0,1,0,0,0,8,0,1,3,1,4,2,0,0,0,0,0,0,15,8,12,4,11
7,45,0.7963022216,0,7,0,1,1,0,2,0,0,0,0,0,1,0,5,0,2,0,1,0,2,6,14,12,7,3,9
8,55,0.79271192625,0,0,0,0,0,0,0,2,2,4,4,2,2,0,0,0,0,0,0,0,0,3,13,6,6,6,13
9,20,0.7796203918,0,5,1,4,1,1,3,0,0,0,1,0,1,0,4,0,0,0,1,0,0,1,9,14,7,9,5
10,5,0.33386377,2,1,0,1,0,1,0,3,0,1,2,0,1,0,0,0,0,1,2,0,4,0,6,13,4,6,6
11,115,0.8264185941,0,1,1,0,5,0,0,3,0,5,5,0,3,0,0,1,0,0,0,1,0,0,9,16,8,14,9
12,230,0.78699385735,0,4,2,0,1,0,1,1,3,1,1,1,1,0,0,0,0,1,0,0,0,6,13,10,3,6,13
13,35,0.8589387828,2,15,0,0,1,0,0,0,0,0,1,2,1,0,6,0,0,0,0,0,0,1,9,20,6,3,3
14,16,0.5520567624375,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,8,3,8,3,0
15,75,0.822094631,0,2,0,0,1,0,0,0,1,5,3,7,0,0,0,2,0,1,0,0,2,2,17,9,5,5,17
16,300,0.8681251059,0,0,1,0,0,0,0,0,2,1,9,3,0,1,3,0,0,0,0,1,0,2,11,12,4,10,8
17,500,0.8801390721,3,2,0,0,3,0,1,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0,9,11,5,6,9
18,500,0.9370912104,0,4,0,1,2,0,0,1,0,7,3,1,1,3,0,2,0,0,0,1,0,0,11,15,8,7,11
19,20,0.636638633666667,0,0,1,0,0,0,6,1,0,1,2,0,6,0,0,1,0,1,0,0,1,2,11,11,8,10,11
20,250,0.83484891215,1,0,1,0,1,1,0,1,8,3,1,3,0,0,0,0,0,0,0,1,0,1,16,6,4,4,16
