"Site","Stems","Date","Head","Filled","Not_Filled","Filling_Ratio","Total_seeds"
"1",150,"19/06/2024",1,54,45,0.545454545,99
"1",150,"19/06/2024",2,69,40,0.633027523,109
"1",150,"26/06/2024",3,80,14,0.85106383,94
"1",150,"26/06/2024",4,3,21,0.125,24
"1",150,"26/06/2024",5,41,43,0.488095238,84
"1",150,"26/06/2024",6,80,24,0.769230769,104
"1",150,"26/06/2024",7,75,29,0.721153846,104
"1",150,"26/06/2024",8,68,35,0.660194175,103
"1",150,"26/06/2024",9,46,45,0.505494505,91
"1",150,"26/06/2024",10,72,47,0.605042017,119
"1",150,"26/06/2024",11,50,31,0.617283951,81
"1",150,"26/06/2024",12,40,43,0.481927711,83
"1",150,"26/06/2024",13,92,4,0.958333333,96
"1",150,"26/06/2024",14,60,7,0.895522388,67
"1",150,"26/06/2024",15,33,63,0.34375,96
"1",150,"26/06/2024",16,86,70,0.551282051,156
"1",150,"26/06/2024",17,24,37,0.393442623,61
"1",150,"26/06/2024",18,29,8,0.783783784,37
"1",150,"26/06/2024",19,33,79,0.294642857,112
"1",150,"26/06/2024",20,17,67,0.202380952,84
"2",65,"26/06/2024",1,47,86,0.353383459,133
"2",65,"26/06/2024",2,63,79,0.443661972,142
"2",65,"26/06/2024",3,58,48,0.547169811,106
"2",65,"26/06/2024",4,24,104,0.1875,128
"2",65,"26/06/2024",5,29,115,0.201388889,144
"2",65,"26/06/2024",6,23,129,0.151315789,152
"2",65,"26/06/2024",7,39,43,0.475609756,82
"2",65,"26/06/2024",8,32,61,0.344086022,93
"2",65,"26/06/2024",9,92,13,0.876190476,105
"2",65,"26/06/2024",10,31,66,0.319587629,97
"2",65,"26/06/2024",11,21,130,0.139072848,151
"2",65,"26/06/2024",12,28,103,0.213740458,131
"2",65,"26/06/2024",13,40,54,0.425531915,94
"2",65,"26/06/2024",14,31,97,0.2421875,128
"2",65,"26/06/2024",15,17,116,0.127819549,133
"2",65,"26/06/2024",16,49,103,0.322368421,152
"2",65,"26/06/2024",17,60,54,0.526315789,114
"2",65,"26/06/2024",18,42,97,0.302158273,139
"2",65,"26/06/2024",19,50,115,0.303030303,165
"2",65,"26/06/2024",20,50,98,0.337837838,148
"3",80,"19/06/2024",1,59,43,0.578431373,102
"3",80,"19/06/2024",2,13,35,0.270833333,48
"3",80,"19/06/2024",3,35,33,0.514705882,68
"3",80,"19/06/2024",4,53,57,0.481818182,110
"3",80,"19/06/2024",5,55,25,0.6875,80
"3",80,"19/06/2024",6,74,15,0.831460674,89
"3",80,"19/06/2024",7,79,4,0.951807229,83
"3",80,"19/06/2024",8,29,56,0.341176471,85
"3",80,"19/06/2024",9,29,44,0.397260274,73
"3",80,"19/06/2024",10,52,11,0.825396825,63
"3",80,"26/06/2024",11,29,45,0.391891892,74
"3",80,"26/06/2024",12,71,17,0.806818182,88
"3",80,"26/06/2024",13,59,22,0.728395062,81
"3",80,"26/06/2024",14,33,54,0.379310345,87
"3",80,"26/06/2024",15,39,26,0.6,65
"3",80,"26/06/2024",16,35,76,0.315315315,111
"3",80,"26/06/2024",17,19,76,0.2,95
"3",80,"26/06/2024",18,72,15,0.827586207,87
"3",80,"26/06/2024",19,66,25,0.725274725,91
"3",80,"26/06/2024",20,37,60,0.381443299,97
"4",25,"26/06/2024",1,35,2,0.945945946,37
"4",25,"26/06/2024",2,46,4,0.92,50
"4",25,"26/06/2024",3,72,7,0.911392405,79
"4",25,"26/06/2024",4,77,7,0.916666667,84
"4",25,"26/06/2024",5,29,18,0.617021277,47
"4",25,"26/06/2024",6,9,31,0.225,40
"4",25,"26/06/2024",7,43,2,0.955555556,45
"4",25,"26/06/2024",8,35,9,0.795454545,44
"4",25,"26/06/2024",9,74,25,0.747474747,99
"4",25,"26/06/2024",10,37,25,0.596774194,62
"4",25,"26/06/2024",11,26,3,0.896551724,29
"4",25,"26/06/2024",12,7,25,0.21875,32
"4",25,"26/06/2024",13,33,55,0.375,88
"4",25,"26/06/2024",14,52,11,0.825396825,63
"4",25,"26/06/2024",15,61,7,0.897058824,68
"4",25,"26/06/2024",16,40,43,0.481927711,83
"4",25,"26/06/2024",17,66,4,0.942857143,70
"4",25,"26/06/2024",18,25,71,0.260416667,96
"4",25,"26/06/2024",19,68,4,0.944444444,72
"4",25,"26/06/2024",20,64,14,0.820512821,78
